bundle_name,display_name,description
Birth Sex,Birth Sex,
Blood Pressure,Blood Pressure,
DRS,DRS,
ER Discharge Destination,ER Discharge Destination,
ER Discharge Reason,ER Discharge Reason,
Employment Status,Employment Status,
Epilepsy Etiology Classification,Epilepsy Etiology Classification,
GCS - Adult,GCS - Adult,
GCS - Pediatric,GCS - Pediatric,
GOSE - Adult,GOSE - Adult,
GOSE - Pediatric,GOSE - Pediatric,
Gender Identity,Gender Identity,
Generalized Seizure Classification,Generalized Seizure Classification,
Global Change from Prior,Global Change from Prior,
HAIS,HAIS,
Head Circumference,Head Circumference,
Height,Height,
Hospital Discharge Destination,Hospital Discharge Destination,
ICP Catheter Site,ICP Catheter Site,
ICP Device,ICP Device,
ICP Monitoring Problem,ICP Monitoring Problem,
ICU Discharge,ICU Discharge,
Illicit Drug or Substance Use,Illicit Drug or Substance Use,
Indicator Seizure Symptoms,Indicator Seizure Symptoms,
Injury Cause and Classification,Injury Cause and Classification,
Intracranial Procedure,Intracranial Procedure,
MHBODSYS,MHBODSYS,
MHSurgTherProc,MHSurgTherProc,
MPAI4,MPAI4,
OSUTBIMS,OSUTBIMS,
Outpatient Therapy or Rehab,Outpatient Therapy or Rehab,
PEBODSYS,PEBODSYS,
Perinatal Neurologic Event,Perinatal Neurologic Event,
Post-Trauma Clinical Care Location,Post-Trauma Clinical Care Location,
SWLS,SWLS,
Seizure Dx after TBI,Seizure Dx after TBI,
Sex Genotype,Sex Genotype,
Sz Second Insults ,Sz Second Insults ,
TBI Symptoms ,TBI Symptoms ,
TIL,TIL,
Temperature,Temperature,
Tobacco Product Use,Tobacco Product Use,
Unknown Onset Seizure Subtypes,Unknown Onset Seizure Subtypes,
Weight,Weight,
