crf_id,cde_id,cde_name,variable_name,cde_definition,short_description,question_text,pv_labels,pv_codes,pv_definitions,sources_data_type,data_type,disease_specific_instructions,disease_specific_reference,population,classification,version_number,version_date,crf_name,subdomain,domain,size,input_restrictions,min_value,max_value,measurement_type,external_id_loinc,external_id_snomed,external_id_cadsr,external_id_cdisc,external_id_nlm,classification_pte,cde_type,standalone,specific_instructions_core,crf_instructions,crf_form_guidance,pte_cde_notes,pte_specific_instructions,cde_origin,pte_domain,pte_subdomain,pte_class_notes,pte_crf_name,cde_source,disease
F0313,C04811,Emergency room discharge destination type,EmrgyRmDischrgDestTyp,Destination on completion of stabilization/evaluation in emergency room,Destination on completion of stabilization/evaluation in emergency room,Where was the participant subject discharged from the ER?,"Admission to hospital - ward;Admission to hospital - intermediate/high care unit;Admission to hospital - ICU;Admission to hospital - other (e.g., observation unit);Discharge to other hospital;Discharge to nursing home;Discharge to home;N/A - patient died;Other, specify;Unknown",,"Admission to hospital - ward;Admission to hospital - intermediate/high care unit;Admission to hospital - ICU;Admission to hospital - other (e.g., observation unit);Discharge to other hospital;Discharge to nursing home;Discharge to home;N/A - patient died;Other, specify;Unknown",Alphanumeric,Value List,Choose one. Response obtained prospectively  or retrospectively from the source documents.,No references available,Adult and Pediatric,Supplemental,3,7/20/13,ER Destination,Discharge Information,Disease/Injury Related Events,,Single Pre-Defined Value Selected,,,,,,,,,Disease Supplemental  ,C04811,,,,,,,collected,,,,TBI Treatment History: Discharge Information,NINDS,Clinical PTE
F0313,C18674,Emergency room discharge destination type other text,EmrgyRmDischrgDestTypOTH,The free-text field related to 'Emergency room discharge destination type' specifying other text. Destination on completion of stabilization/evaluation in emergency room,The free-text field related to 'Emergency room discharge destination type' specifying other text. Destination on completion of stabilization/evaluation in emergency room,"Other, specify",,,,Alphanumeric,Text,Choose one. Response is obtained prospectively or retrospectively from the source documents. The destination on discharge from the emergency room is generally related to the severity of injuries and indicates the intensity of care considered appropriate.,No references available,Adult and Pediatric,Supplemental,1,5/27/14,ER Destination,Discharge Information,Disease/Injury Related Events,4000,Free-Form Entry,,,,,,,,,Disease Supplemental  ,C04811,,,,,,,collected,,,,TBI Treatment History: Discharge Information,NINDS,Clinical PTE
F0313,C04803,Emergency room discharge destination reason,EmrgyRmDischrgDestRsn,Reason for choice of destination upon discharge from emergency room,Reason for choice of destination upon discharge from emergency roo,Emergency room discharge destination reason,"Medical necessity;Social circumstances;No ICU beds available;Requiring specialized facilities;Normal CT;Unknown;Other, specify",,"Medical necessity;Social circumstances;No ICU beds available;Requiring specialized facilities;Normal CT;Unknown;Other, specify",Alphanumeric,Value List,Choose one. Response is obtained prospectively or retrospectively from the source documents. The destination on discharge from the emergency room is generally related to the severity of injuries and indicates the intensity of care considered appropriate.,No references available,Adult and Pediatric,Supplemental,3,7/20/13,ER Destination,Discharge Information,Disease/Injury Related Events,,Single Pre-Defined Value Selected,,,,,,,,,Disease Supplemental  ,C04803,,,,,,,collected,,,,TBI Treatment History: Discharge Information,NINDS,Clinical PTE
F0313,C18673,Emergency room discharge destination reason other text,EmrgyRmDischrgDestRsnOTH,The free-text field related to 'Emergency room discharge destination reason' specifying other text. Reason for choice of destination upon discharge from emergency room,The free-text field related to 'Emergency room discharge destination reason' specifying other text. Reason for choice of destination upon discharge from emergency roo,"Other, specify",,,,Alphanumeric,Text,Choose one. Response obtained prospectively  or retrospectively from the source documents.,No references available,Adult and Pediatric,Supplemental,1,5/27/14,ER Destination,Discharge Information,Disease/Injury Related Events,4000,Free-Form Entry,,,,,,,,,Disease Supplemental  ,C04803,,,,,,,collected,,,,TBI Treatment History: Discharge Information,NINDS,Clinical PTE
F0312,C04807,Vital status,VitStatus,Status of participant/subject as alive or dead,Status of participant/subject as alive or dead,Vital status on discharge,Alive;Dead;Unknown,,Alive;Dead;Unknown,Alphanumeric,Value List,Choose one.,No references available,Adult and Pediatric,Supplemental,3,7/20/13,Discharge Status,Discharge Information,Disease/Injury Related Events,,Single Pre-Defined Value Selected,,,,,,,,,Disease Supplemental Highly Recommended,,,,,,,,collected,,,,TBI Treatment History: Discharge Information,NINDS,Clinical PTE
F0312,C04804,Hospital discharge date and time,HospitDischgDateTime,"Date (and time, if applicable and known) the participant/subject was discharged from the hospital","Date (and time, if applicable and known) the participant/subject was discharged from the hospital",Hospital discharge date and time,,,,Date or Date & Time,Datetime,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",No references available,Adult and Pediatric,Supplemental,3,7/25/13,Discharge Status,Discharge Information,Disease/Injury Related Events,,Free-Form Entry,,,,,,,,,Disease Supplemental Highly Recommended,,,,,,,,collected,,,,TBI Treatment History: Discharge Information,NINDS,Clinical PTE
F0312,C04809,Hospital discharge destination type,HospDischrgDestTyp,Type of destination on completion of stabilization/evaluation in hospital,Type of destination on completion of stabilization/evaluation in hospital,Destination upon discharge from hospital,"Discharge to rehabilitation unit;Discharge to other hospital;Discharge to nursing home;Discharge to home/private residence;Not applicable - patient died;Other, specify;Unknown",,"Discharge to rehabilitation unit;Discharge to other hospital;Discharge to nursing home;Discharge to home/private residence;Not applicable - patient died;Other, specify;Unknown",Alphanumeric,Value List,Choose one.,No references available,Adult and Pediatric,Supplemental,3,7/20/13,Discharge Status,Discharge Information,Disease/Injury Related Events,,Single Pre-Defined Value Selected,,,,,,,,,Disease Supplemental Highly Recommended,C04809,,,,,,,collected,,,,TBI Treatment History: Discharge Information,NINDS,Clinical PTE
F0312,C18685,Hospital discharge destination other text,HospDischrgDestOTH,The free-text field related to 'Hospital discharge destination type' specifying other text. Type of destination on completion of stabilization/evaluation in hospital,The free-text field related to 'Hospital discharge destination type' specifying other text. Type of destination on completion of stabilization/evaluation in hospital,"Other, specify",,,,Alphanumeric,Text,Choose one.,No references available,Adult and Pediatric,Supplemental,1,5/27/14,Discharge Status,Discharge Information,Disease/Injury Related Events,4000,Free-Form Entry,,,,,,,,,Disease Supplemental Highly Recommended,C04809,,,,,,,collected,,,,TBI Treatment History: Discharge Information,NINDS,Clinical PTE
F0312,C04812,Definitive clinical care post trauma location type,DefntvClinCrPostTraumLocTyp,Indicates type of location where patient received definitive clinical care after the injury,Indicates type of location where patient received definitive clinical care after the injury,Where was the definitive clinical care received for the participant/subject?,"None;Outpatient Clinic;Emergency Department-Non-trauma Center;Emergency Department -Trauma Center;Other, specify",,"None;Outpatient Clinic;Emergency Department-Non-trauma Center;Emergency Department -Trauma Center;Other, specify",Alphanumeric,Value List,Choose one.,No references available,Adult and Pediatric,Supplemental,3,7/20/13,Discharge Status,Discharge Information,Disease/Injury Related Events,,Single Pre-Defined Value Selected,,,,,,,,,Disease Supplemental Highly Recommended,C04812,,,,,,,collected,,,,TBI Treatment History: Discharge Information,NINDS,Clinical PTE
F0312,C18668,Definitive clinical care post trauma location other text,DefntvClinCrPostTraumLocOTH,The free-text field related to 'Definitive clinical care post trauma location type' specifying other text. Indicates type of location where patient received definitive clinical care after the injury,The free-text field related to 'Definitive clinical care post trauma location type' specifying other text. Indicates type of location where patient received definitive clinical care after the injury,"Other, specify",,,,Alphanumeric,Text,Choose one.,No references available,Adult and Pediatric,Supplemental,1,5/27/14,Discharge Status,Discharge Information,Disease/Injury Related Events,4000,Free-Form Entry,,,,,,,,,Disease Supplemental Highly Recommended,C04812,,,,,,,collected,,,,TBI Treatment History: Discharge Information,NINDS,Clinical PTE
