crf_id,cde_id,cde_name,variable_name,cde_definition,short_description,question_text,pv_labels,pv_codes,pv_definitions,sources_data_type,data_type,disease_specific_instructions,disease_specific_reference,population,classification,version_number,version_date,crf_name,subdomain,domain,size,input_restrictions,min_value,max_value,measurement_type,external_id_loinc,external_id_snomed,external_id_cadsr,external_id_cdisc,external_id_nlm,classification_pte,cde_type,standalone,specific_instructions_core,crf_instructions,crf_form_guidance,pte_cde_notes,pte_specific_instructions,cde_origin,pte_domain,pte_subdomain,pte_class_notes,pte_crf_name,cde_source,disease
F0335,C05137,TBI therapy intensity level global assessment code,TBITherapIntensLvlGlobAsesCod,A summary measure for traumatic brain injury that captures a global categorization of therapy intensity level (TIL) over a given period,A summary measure for traumatic brain injury that captures a global categorization of therapy intensity level (TIL) over a given perio,Global categorization of therapy intensity level (TIL),TIL 0;TIL 1 - Core ICU care;TIL 2 - Mild;TIL 3 - Moderate;TIL 4 - Extreme,,"No specific ICP directed therapy;Sedation for ventilator/endotracheal tube tolerance, Volume/Vasoactives for non-CNS cause (e.g. sepsis, myocardial injury), Head-up positioning (ventilator bundle), Normcapnia (PaCO2 greater than or equal to 40 mmHg);Higher levels of sedation, Vasopressors/volume for CPP support, Low dose osmotic therapy, Mild hypocapnia (PaCO2: 4.6 - 5.3 kPa| 35 Ð 40 mmHg), CSF drainage &lt;120 ml/day (&lt;5 ml/hr);Higher doses of osmotic therapy, Moderate hypocapnia (PaCO2: 4.0 - 4.5 kPa| 30 Ð 35 mmHg), Mild hypothermia (&gt;35¡C), CSF drainage greater than or equal to 120 ml/day (greater than or equal to 5 ml/hr);Profound hypocapnia (PaCO2: &lt;30 mmHg), Temperature &lt;35¡C, Metabolic suppression with IV anesthetics, Surgery for refractory ICP (decompression/lobectomy)",Alphanumeric,Value List,Choose one.,No references available,Adult Only,Supplemental,3,7/20/13,Therapy Intensity Level,Therapies,Treatment/Intervention Data,,Single Pre-Defined Value Selected,,,,,,,,,Disease Supplemental  ,,,,,,,,,,,,TBI Treatment History: Therapy and Rehab,NINDS,Clinical PTE
F0336,C05130,Therapy or rehabilitation type,TherpyRehabTyp,Type of therapy or rehabilitation services received by the participant/subject,Type of therapy or rehabilitation services received by the participant/subjec,Type of Therapy or Rehabilitation,"Out-patient rehabilitation;Non-specialized facility (in-patient);Specialized rehab center (in-patient);General rehab unit (in-patient);TBI rehabilitation unit (in-patient);General long term acute care unit (in-patient);Geriatric rehab unit (in-patient);Physical therapy;Occupational therapy;Speech therapy;Therapeutic recreation;Cognitive remediation;Vocational services;Psychological services;Nursing services;Comprehensive day treatment;Peer mentoring;Social work;Case management;Independent living training;Home health;Other, specify;Unknown",,"Out-patient rehabilitation;Non-specialized facility (in-patient);Specialized rehab center (in-patient);General rehab unit (in-patient);TBI rehabilitation unit (in-patient);General long term acute care unit (in-patient);Geriatric rehab unit (in-patient);Physical therapy;Occupational therapy;Speech therapy;Therapeutic recreation;Cognitive remediation;Vocational services;Psychological services;Nursing services;Comprehensive day treatment;Peer mentoring;Social work;Case management;Independent living training;Home health;Other, specify;Unknown",Alphanumeric,Value List,"Choose all that apply.  Response is obtained from report by  the participant/subject, a reliable proxy or medical records. Add date stamp for when assessed. Recommend collection at end of initial medical care.  Service provision post-TBI is important to track as it is an indicator of health care resource utilization.","International Classification of Diseases, Ninth Revision, Clinical Modification (ICD-9-CM): http://www.cdc.gov/nchs/icd/icd9cm.htm",Adult and Pediatric,Supplemental,3,7/20/13,Post Discharge/Outpatient Treatment,Therapies,Treatment/Intervention Data,,Multiple Pre-Defined Values Selected,,,,,,,,,Disease Supplemental  ,C05130,,,,,,,,,,,TBI Treatment History: Therapy and Rehab,NINDS,Clinical PTE
F0336,C18768,Therapy or rehabilitation other text,TherpyRehabOTH,The free-text field related to 'Therapy or rehabilitation type' specifying other text. Type of therapy or rehabilitation services received by the participant/subject,The free-text field related to 'Therapy or rehabilitation type' specifying other text. Type of therapy or rehabilitation services received by the participant/subject,"Other, specify",,,,Alphanumeric,Text,"Choose all that apply.  Response is obtained from report by  the participant/subject, a reliable proxy or medical records. Add date stamp for when assessed. Recommend collection at end of initial medical care.  Service provision post-TBI is important to track as it is an indicator of health care resource utilization.","International Classification of Diseases, Ninth Revision, Clinical Modification (ICD-9-CM): http://www.cdc.gov/nchs/icd/icd9cm.htm",Adult and Pediatric,Supplemental,1,5/27/14,Post Discharge/Outpatient Treatment,Therapies,Treatment/Intervention Data,4000,Free-Form Entry,,,,,,,,,Disease Supplemental  ,C05130,,,,,,,,,,,TBI Treatment History: Therapy and Rehab,NINDS,Clinical PTE
F0336,C21667,Therapy rehabilitation ICD 10 CM code,TherpyRehabICD10CMCd,ICD-10-CM code that describes the therapy or rehabilitation received by the participant/subject,ICD-10-CM code that describes the therapy or rehabilitation received by the participant/subject,ICD-10-CM code,,,,Alphanumeric,Text,Add date stamp for when assessed. Recommend collection at least at end of initial medical care.,"International Classification of Diseases, Ninth Revision, Clinical Modification (ICD-9-CM) for permissible values: http://www.cdc.gov/nchs/icd/icd9cm.htm",Adult and Pediatric,Supplemental,1,7/20/13,Post Discharge/Outpatient Treatment,Therapies,Treatment/Intervention Data,255,Free-Form Entry,,,,,,,,,Disease Supplemental  ,C05130,,,,,,,,,,,TBI Treatment History: Therapy and Rehab,NINDS,Clinical PTE
F0336,C05132,Therapy or rehabilitation frequency,TherpyRehabFreq,Identified describing the frequency the participant/subject received the therapy or rehabilitation,Identified describing the frequency the participant/subject received the therapy or rehabilitation,Therapy or Rehabilitation Frequency,BID; BIS; QM; PRN; Q10H; Q11H; Q12H; Q13H; Q14H; Q15H; Q16H; Q17H; Q18H; Q19H; QH; Q20H; Q21H; Q22H; Q23H; Q24H; Q2H; Q3H; Q4H; Q5H; Q6H; Q7H; Q8H; Q9H; QOD; TID; TIS; Q4S; QID; QIS; Q3D; Q4D; Q3S; Q2M; Q3M; Q4M; ONCE; QS; Q5D; Q2S; BIM; INTERMITTENT; QD; OCCASIONAL; AD LIBITUM; 1 TIME PER WEEK; 2 TIMES PER YEAR; 3 TIMES PER MONTH; 3 TIMES PER YEAR; 4 TIMES PER MONTH; 4 TIMES PER YEAR; 5 TIMES PER DAY; 5 TIMES PER MONTH; 5 TIMES PER WEEK; 5 TIMES PER YEAR; 6 TIMES PER DAY; 6 TIMES PER MONTH; 6 TIMES PER WEEK; 6 TIMES PER YEAR; 7 TIMES PER WEEK; PA; Q6S; CONTINUOUS; OTHER; UNKNOWN,,BID; BIS; QM; PRN; Q10H; Q11H; Q12H; Q13H; Q14H; Q15H; Q16H; Q17H; Q18H; Q19H; QH; Q20H; Q21H; Q22H; Q23H; Q24H; Q2H; Q3H; Q4H; Q5H; Q6H; Q7H; Q8H; Q9H; QOD; TID; TIS; Q4S; QID; QIS; Q3D; Q4D; Q3S; Q2M; Q3M; Q4M; ONCE; QS; Q5D; Q2S; BIM; INTERMITTENT; QD; OCCASIONAL; AD LIBITUM; 1 TIME PER WEEK; 2 TIMES PER YEAR; 3 TIMES PER MONTH; 3 TIMES PER YEAR; 4 TIMES PER MONTH; 4 TIMES PER YEAR; 5 TIMES PER DAY; 5 TIMES PER MONTH; 5 TIMES PER WEEK; 5 TIMES PER YEAR; 6 TIMES PER DAY; 6 TIMES PER MONTH; 6 TIMES PER WEEK; 6 TIMES PER YEAR; 7 TIMES PER WEEK; PA; Q6S; CONTINUOUS; OTHER; UNKNOWN,Numeric Values,Value List,Choose one.,CDISC SDTM Frequency Terminology (Code C71113) (http://www.cancer.gov/cancertopics/cancerlibrary/terminologyresources/cdisc) - http://evs.nci.nih.gov/ftp1/CDISC/SDTM/,Adult and Pediatric,Supplemental,3,7/20/13,Post Discharge/Outpatient Treatment,Therapies,Treatment/Intervention Data,,Free-Form Entry,,,,,,,,,Disease Supplemental  ,,,,,,"value list not included on csv, updated here from crf",,,,,,TBI Treatment History: Therapy and Rehab,NINDS,Clinical PTE
F0335,C05138,TBI therapy intensity level procedure type,TBITherapIntensLvlProcType,Type of procedure or therapy used to assess the therapy intensity level (TIL) for treating the traumatic brain injury,Type of procedure or therapy used to assess the therapy intensity level (TIL) for treating the traumatic brain injury,Type of Procedure used to determine therapy intensity level (TIL):,"Nursed flat (180¡) for CPP management;Sedation (low dose as required for mechanical ventilation);Higher dose sedation for ICP control (not aiming for burst suppression);Metabolic suppression for ICP control with high dose barbiturates or propofol;Neuromuscular blockade (paralysis);CSF drainage &lt;120 ml/day (&lt;5 ml/hour);CSF drainage greater than or equal to 120 ml (greater than or equal to 5 ml/hour);Fluid loading for maintenance of cerebral perfusion;Vasopressor therapy required for management of cerebral perfusion;Mild hypocapnia for ICP control [PaCO2 4.6 Ð 5.3 kPa (35 - 40 mmHg)];Moderate hypocapnia for ICP control [PaCO2 greater than or equal to 4 kPa (30 mmHg)];Intensive hypocapnia for ICP control [PaCO2 &lt;4 kPa (30 mmHg)];Hyperosmolar therapy with mannitol up to 2 g/kg/24 hours;Hyperosmolar therapy with hypertonic saline up to 0.3 g/kg/24 hours;Hyperosmolar therapy with mannitol &gt;2 g/kg/24 hours;Hyperosmolar therapy with hypertonic saline &gt;0.3 g/kg/24 hours;Treatment of fever (temp.&gt;38¡C) or spontaneous temp. below 34.5¡C;Mild hypothermia for ICP control with a lower limit of 35¡C;Hypothermia below 35¡C;Intracranial operation for progressive mass lesion, not scheduled on admission;Decompressive craniectomy;Head elevation for ICP control",,"Nursed flat (180¡) for CPP management;Sedation (low dose as required for mechanical ventilation);Higher dose sedation for ICP control (not aiming for burst suppression);Metabolic suppression for ICP control with high dose barbiturates or propofol;Neuromuscular blockade (paralysis);CSF drainage &lt;120 ml/day (&lt;5 ml/hour);CSF drainage greater than or equal to 120 ml (greater than or equal to 5 ml/hour);Fluid loading for maintenance of cerebral perfusion;Vasopressor therapy required for management of cerebral perfusion;Mild hypocapnia for ICP control [PaCO2 4.6 Ð 5.3 kPa (35 - 40 mmHg)];Moderate hypocapnia for ICP control [PaCO2 greater than or equal to 4 kPa (30 mmHg)];Intensive hypocapnia for ICP control [PaCO2 &lt;4 kPa (30 mmHg)];Hyperosmolar therapy with mannitol up to 2 g/kg/24 hours;Hyperosmolar therapy with hypertonic saline up to 0.3 g/kg/24 hours;Hyperosmolar therapy with mannitol &gt;2 g/kg/24 hours;Hyperosmolar therapy with hypertonic saline &gt;0.3 g/kg/24 hours;Treatment of fever (temp.&gt;38¡C) or spontaneous temp. below 34.5¡C;Mild hypothermia for ICP control with a lower limit of 35¡C;Hypothermia below 35¡C;Intracranial operation for progressive mass lesion, not scheduled on admission;Decompressive craniectomy;Head elevation for ICP control",Alphanumeric,Value List,Choose all that apply.,No references available,Adult and Pediatric,Supplemental,3,7/20/13,Therapy Intensity Level,Therapies,Treatment/Intervention Data,,Multiple Pre-Defined Values Selected,,,,,,,,,Disease Supplemental  ,,,,,,,,,,,,TBI Treatment History: Therapy and Rehab,NINDS,Clinical PTE
F0336,C05133,Therapy or rehabilitation session duration,TherpyRehabSessnDur,Average duration of a therapy or rehabilitation session,Average duration of a therapy or rehabilitation session,Avg. Duration of Therapy Session,,,,Numeric Values,Number,Record the duration of therapy or rehabilitation session in minutes.,No references available,Adult and Pediatric,Supplemental,3,7/20/13,Post Discharge/Outpatient Treatment,Therapies,Treatment/Intervention Data,,Free-Form Entry,,,minute,,,,,,Disease Supplemental  ,,,,,,added measurement unit of miutes per crf,,,,,,TBI Treatment History: Therapy and Rehab,NINDS,Clinical PTE
F0335,C05139,TBI therapy intensity level procedure indicator,TBITherapIntensLvlProcInd,"Indicator of whether the procedure or therapy was administered, which is used to assess the therapy intensity level (TIL) for treating the traumatic brain injury","Indicator of whether the procedure or therapy was administered, which is used to assess the therapy intensity level (TIL) for treating the traumatic brain injury","	Was procedure administered (used to determine therapy intensity level (TIL)):",Yes;No;Unknown,,Yes;No;Unknown,Alphanumeric,Value List,Choose one.,No references available,Adult Only,Supplemental,3,7/20/13,Therapy Intensity Level,Therapies,Treatment/Intervention Data,,Single Pre-Defined Value Selected,,,,,,,,,Disease Supplemental  ,,,,,,,,,,,,TBI Treatment History: Therapy and Rehab,NINDS,Clinical PTE
F0336,C05134,Therapy rehabilitation start date time,TherpyRehabStrtDateTime,"Date (and time, if applicable and known) on which the therapy or rehabilitation started","Date (and time, if applicable and known) on which the therapy or rehabilitation started",Date Time of Initiation,,,,Date or Date & Time,Date,"Record the date/time according to the ISO 8601, the International Standard for the representation of dates and times (http://www.iso.org/iso/home.html).  The date/time should be recorded to the level of granularity known (e.g., year, year and month, complete date plus hours and minutes, etc.).",No references available,Adult and Pediatric,Supplemental,3,7/20/13,Post Discharge/Outpatient Treatment,Therapies,Treatment/Intervention Data,,Free-Form Entry,,,,,,,,,Disease Supplemental  ,,,,,,,,,,,,TBI Treatment History: Therapy and Rehab,NINDS,Clinical PTE
F0335,C07429,Pediatric intensity level of therapy scale score,PediatIntensLvlTherapyScalScr,Pediatric intensity level of therapy (PILOT) scale (0-38),Pediatric intensity level of therapy (PILOT) scale (0-38),Pediatric intensity level of therapy (0-38):,,,,Numeric Values,Number,Score ranges from 0-38.  Daily recording recommended. This element is recommended for pediatric studies.,"Shore P, Adelson PD, Kochanek P, Hand L, Roy L. Reliability and validity of the Pediatric Intensity Level of Therapy (PILOT) Scale: A measure of the use of intracranial pressure-directed therapies. (2006) Crit Care Med 34:1981-1987.",Pediatric Only,Supplemental,3,7/20/13,Therapy Intensity Level,Therapies,Treatment/Intervention Data,,Free-Form Entry,,,,,,,,,Disease Supplemental  ,,,,,,,,,,,,TBI Treatment History: Therapy and Rehab,NINDS,Clinical PTE
